Location,Car Name,Manufacturer Name,Car Type,Color,Gearbox,Number of Seats,Number of Doors,Energy,Manufactured Year,Price-$,Purchased Date,Year-Month
Utah,Plato,Prazo,Convertible,Black,Automatic,2,2,Electric,2017,10700,2016-10-27,2016-10
Michigan,Creta,Hyundai,Hatchback,Red,Automatic,5,5,Petrol,2019,6500,2018-12-06,2018-12
Pennsylvania,i20,Hyundai,Hatchback,Blue,Automatic,4,5,Diesel,2016,6900,2016-01-13,2016-01
California,Creta,Hyundai,Hatchback,Gray,Manual,5,5,Electric,2021,7800,2017-08-20,2017-08
Texas,Swift,Maruti,Sedan,Blue,Manual,5,4,Electric,2024,8000,2024-05-29,2024-05
Florida,Swift,Maruti,Sedan,Gray,Automatic,5,4,Petrol,2018,7100,2019-06-27,2019-06
Florida,Swift,Maruti,Sedan,Black,Automatic,5,4,Hybrid,2024,7500,2021-06-02,2021-06
Wisconsin,i20,Hyundai,Hatchback,Red,Manual,4,5,Hybrid,2021,7300,2015-06-29,2015-06
North Carolina,Dzire,Maruti,Sedan,White,Manual,5,5,Petrol,2015,7400,2020-11-07,2020-11
Texas,Yodha,Tata,Truck,Blue,Automatic,3,2,Petrol,2024,7000,2020-06-25,2020-06
Arizona,Yodha,Tata,Truck,Gray,Manual,3,2,Diesel,2018,7700,2016-03-16,2016-03
Ohio,Fortuner,Toyota,SUV,Gray,Automatic,8,5,Diesel,2020,8000,2021-09-29,2021-09
Florida,Hilux,Toyota,Truck,Blue,Automatic,4,2,Electric,2016,9300,2017-06-23,2017-06
Michigan,Swift,Maruti,Sedan,Black,Automatic,5,4,Diesel,2023,6700,2024-08-08,2024-08
Pennsylvania,Seltos,Kia,Hatchback,Red,Manual,5,5,Hybrid,2018,7600,2018-10-08,2018-10
Illinois,Etriga,Maruti,Hatchback,Gray,Manual,4,5,Diesel,2018,6700,2020-09-12,2020-09
Illinois,Seltos,Kia,Hatchback,Red,Manual,5,5,Hybrid,2017,7700,2023-03-07,2023-03
Ohio,i20,Hyundai,Hatchback,White,Automatic,4,5,Diesel,2017,6800,2021-02-15,2021-02
Michigan,Fortuner,Toyota,SUV,Red,Manual,8,5,Petrol,2023,7600,2018-09-28,2018-09
Wisconsin,Scorpio,Mahindra,SUV,Red,Automatic,5,5,Petrol,2021,7800,2019-06-28,2019-06
California,Etriga,Maruti,Hatchback,Gray,Manual,4,5,Petrol,2020,6400,2020-05-04,2020-05
Utah,Dzire,Maruti,Sedan,Black,Manual,5,5,Petrol,2015,7400,2024-04-15,2024-04
Arizona,Seltos,Kia,Hatchback,Black,Manual,5,5,Electric,2015,8400,2017-06-26,2017-06
North Carolina,Yodha,Tata,Truck,Black,Manual,3,2,Electric,2018,9100,2023-09-28,2023-09
Pennsylvania,Thar,Mahindra,SUV,Red,Automatic,5,3,Electric,2021,9300,2024-07-14,2024-07
Utah,Kags,Renault,SUV,Blue,Automatic,7,5,Hybrid,2020,8900,2020-08-07,2020-08
Oklahoma,Seltos,Kia,Hatchback,Black,Manual,5,5,Petrol,2018,6600,2020-08-27,2020-08
Utah,i20,Hyundai,Hatchback,Red,Automatic,4,5,Hybrid,2024,7000,2020-04-03,2020-04
Tennessee,Yodha,Tata,Truck,Black,Manual,3,2,Electric,2016,9300,2015-09-03,2015-09
Oregon,Etriga,Maruti,Hatchback,Black,Manual,4,5,Hybrid,2021,7300,2023-06-12,2023-06
Pennsylvania,Etriga,Maruti,Hatchback,Gray,Manual,4,5,Diesel,2021,6400,2020-03-05,2020-03
Colorado,Thar,Mahindra,SUV,Blue,Manual,5,3,Petrol,2016,8300,2023-01-05,2023-01
Colorado,Fortuner,Toyota,SUV,Black,Automatic,8,5,Diesel,2015,8500,2023-03-21,2023-03
North Carolina,Dzire,Maruti,Sedan,Gray,Manual,5,5,Hybrid,2017,8200,2020-08-22,2020-08
California,Yodha,Tata,Truck,Red,Automatic,3,2,Petrol,2024,7000,2019-12-23,2019-12
California,Plato,Prazo,Convertible,Black,Manual,2,2,Hybrid,2021,9800,2023-07-28,2023-07
Oklahoma,i20,Hyundai,Hatchback,Red,Automatic,4,5,Diesel,2016,6900,2020-12-25,2020-12
Oklahoma,Fortuner,Toyota,SUV,Red,Manual,8,5,Petrol,2020,7900,2017-05-31,2017-05
California,Creta,Hyundai,Hatchback,Blue,Manual,5,5,Hybrid,2024,7000,2015-11-16,2015-11
North Carolina,Plato,Prazo,Convertible,White,Manual,2,2,Hybrid,2021,9800,2015-01-15,2015-01
Pennsylvania,Scorpio,Mahindra,SUV,Black,Automatic,5,5,Electric,2024,9000,2023-12-19,2023-12
California,Hilux,Toyota,Truck,Red,Manual,4,2,Petrol,2018,7600,2022-03-21,2022-03
Texas,Fortuner,Toyota,SUV,Gray,Automatic,8,5,Hybrid,2021,8800,2019-05-03,2019-05
Oregon,Seltos,Kia,Hatchback,Black,Manual,5,5,Hybrid,2015,7900,2023-05-31,2023-05
Michigan,i20,Hyundai,Hatchback,Blue,Manual,4,5,Electric,2020,7900,2017-08-26,2017-08
Texas,Fortuner,Toyota,SUV,Gray,Manual,8,5,Hybrid,2020,8900,2020-07-26,2020-07
Illinois,Yodha,Tata,Truck,Blue,Automatic,3,2,Electric,2016,9300,2021-06-06,2021-06
Colorado,Fortuner,Toyota,SUV,Blue,Automatic,8,5,Petrol,2021,7800,2017-06-17,2017-06
Colorado,Fortuner,Toyota,SUV,Blue,Manual,8,5,Diesel,2017,8300,2021-02-02,2021-02
Utah,Dzire,Maruti,Sedan,Red,Automatic,5,5,Hybrid,2017,8200,2019-01-26,2019-01
North Carolina,Scorpio,Mahindra,SUV,Black,Automatic,5,5,Hybrid,2021,8800,2016-05-27,2016-05
New York,Thar,Mahindra,SUV,Blue,Automatic,5,3,Diesel,2018,8200,2020-01-02,2020-01
Pennsylvania,Hilux,Toyota,Truck,Blue,Manual,4,2,Hybrid,2015,8900,2018-10-28,2018-10
Texas,Yodha,Tata,Truck,Blue,Automatic,3,2,Diesel,2019,7600,2017-03-19,2017-03
North Carolina,Plato,Prazo,Convertible,Gray,Manual,2,2,Petrol,2018,9100,2018-02-13,2018-02
California,i20,Hyundai,Hatchback,White,Automatic,4,5,Hybrid,2015,7900,2020-12-28,2020-12
Wisconsin,Kags,Renault,SUV,Blue,Automatic,7,5,Petrol,2020,7900,2020-07-03,2020-07
Utah,i20,Hyundai,Hatchback,Red,Manual,4,5,Electric,2019,8000,2015-02-16,2015-02
California,Fortuner,Toyota,SUV,Black,Manual,8,5,Electric,2016,9800,2021-10-09,2021-10
Texas,i20,Hyundai,Hatchback,Black,Automatic,4,5,Diesel,2015,7000,2023-06-07,2023-06
Florida,Hilux,Toyota,Truck,Red,Manual,4,2,Electric,2021,8800,2020-04-08,2020-04
New York,Yodha,Tata,Truck,White,Automatic,3,2,Electric,2017,9200,2020-06-22,2020-06
North Carolina,Dzire,Maruti,Sedan,Black,Manual,5,5,Petrol,2023,6600,2019-01-25,2019-01
Utah,Kags,Renault,SUV,Blue,Automatic,7,5,Diesel,2017,8300,2019-07-16,2019-07
North Carolina,Fortuner,Toyota,SUV,White,Manual,8,5,Diesel,2021,7900,2015-03-13,2015-03
Oklahoma,Etriga,Maruti,Hatchback,Gray,Manual,4,5,Hybrid,2021,7300,2015-09-18,2015-09
New York,Plato,Prazo,Convertible,Red,Automatic,2,2,Petrol,2023,8600,2015-04-30,2015-04
California,Fortuner,Toyota,SUV,Gray,Manual,8,5,Diesel,2020,8000,2020-05-02,2020-05
Utah,Etriga,Maruti,Hatchback,Black,Manual,4,5,Diesel,2019,6600,2019-04-07,2019-04
North Carolina,i20,Hyundai,Hatchback,Red,Manual,4,5,Petrol,2018,6600,2015-03-23,2015-03
Tennessee,i20,Hyundai,Hatchback,Black,Manual,4,5,Diesel,2019,6600,2021-11-21,2021-11
Oklahoma,Etriga,Maruti,Hatchback,Red,Automatic,4,5,Petrol,2019,6500,2015-03-05,2015-03
Pennsylvania,Plato,Prazo,Convertible,Black,Automatic,2,2,Diesel,2017,9300,2021-05-19,2021-05
Tennessee,Seltos,Kia,Hatchback,Gray,Automatic,5,5,Petrol,2018,6600,2017-07-10,2017-07
Florida,Hilux,Toyota,Truck,Blue,Automatic,4,2,Diesel,2022,7300,2016-04-21,2016-04
Florida,Hilux,Toyota,Truck,Black,Manual,4,2,Diesel,2020,7500,2021-10-08,2021-10
North Carolina,i20,Hyundai,Hatchback,Red,Manual,4,5,Electric,2024,7500,2016-04-05,2016-04
Wisconsin,i20,Hyundai,Hatchback,Gray,Manual,4,5,Petrol,2022,6200,2024-05-01,2024-05
North Carolina,Fortuner,Toyota,SUV,Blue,Automatic,8,5,Electric,2020,9400,2017-05-13,2017-05
California,Kags,Renault,SUV,Red,Manual,7,5,Diesel,2016,8400,2020-04-17,2020-04
Pennsylvania,Hilux,Toyota,Truck,Blue,Manual,4,2,Electric,2016,9300,2015-01-23,2015-01
Tennessee,Swift,Maruti,Sedan,Gray,Automatic,5,4,Electric,2018,8600,2019-07-23,2019-07
Arizona,Kags,Renault,SUV,Blue,Manual,7,5,Electric,2018,9600,2018-07-13,2018-07
Arizona,Hilux,Toyota,Truck,Black,Automatic,4,2,Diesel,2023,7200,2021-11-27,2021-11
North Carolina,Yodha,Tata,Truck,Black,Automatic,3,2,Petrol,2017,7700,2016-10-23,2016-10
Tennessee,Swift,Maruti,Sedan,Red,Manual,5,4,Electric,2015,8900,2020-02-22,2020-02
Pennsylvania,i20,Hyundai,Hatchback,Blue,Automatic,4,5,Petrol,2020,6400,2024-04-05,2024-04
Colorado,Plato,Prazo,Convertible,Black,Automatic,2,2,Petrol,2019,9000,2020-07-14,2020-07
Pennsylvania,Etriga,Maruti,Hatchback,Gray,Manual,4,5,Hybrid,2020,7400,2018-04-16,2018-04
North Carolina,Dzire,Maruti,Sedan,White,Automatic,5,5,Electric,2022,8200,2024-02-26,2024-02
Utah,Seltos,Kia,Hatchback,Blue,Automatic,5,5,Electric,2020,7900,2015-06-19,2015-06
Utah,Dzire,Maruti,Sedan,Black,Manual,5,5,Electric,2022,8200,2023-10-13,2023-10
Oklahoma,Yodha,Tata,Truck,Blue,Automatic,3,2,Petrol,2021,7300,2017-09-08,2017-09
California,Plato,Prazo,Convertible,Red,Manual,2,2,Electric,2023,10100,2021-08-09,2021-08
Utah,Fortuner,Toyota,SUV,Black,Manual,8,5,Diesel,2019,8100,2017-09-14,2017-09
North Carolina,Seltos,Kia,Hatchback,Black,Automatic,5,5,Hybrid,2021,7300,2021-10-09,2021-10
California,Etriga,Maruti,Hatchback,Black,Automatic,4,5,Diesel,2020,6500,2017-02-22,2017-02
Ohio,Creta,Hyundai,Hatchback,Blue,Automatic,5,5,Hybrid,2018,7600,2015-08-05,2015-08
Illinois,Kags,Renault,SUV,Blue,Manual,7,5,Diesel,2020,8000,2023-07-04,2023-07
Oregon,Fortuner,Toyota,SUV,Red,Automatic,8,5,Hybrid,2019,9000,2021-04-10,2021-04
North Carolina,Yodha,Tata,Truck,Blue,Automatic,3,2,Petrol,2022,7200,2024-03-23,2024-03
Ohio,Etriga,Maruti,Hatchback,Gray,Automatic,4,5,Hybrid,2024,7000,2015-12-31,2015-12
Utah,Seltos,Kia,Hatchback,White,Manual,5,5,Electric,2023,7600,2018-05-27,2018-05
Arizona,Seltos,Kia,Hatchback,Gray,Automatic,5,5,Diesel,2023,6200,2019-09-23,2019-09
North Carolina,Etriga,Maruti,Hatchback,Black,Automatic,4,5,Petrol,2019,6500,2023-02-19,2023-02
Oklahoma,Yodha,Tata,Truck,Gray,Automatic,3,2,Diesel,2024,7100,2017-11-15,2017-11
Pennsylvania,Dzire,Maruti,Sedan,Gray,Manual,5,5,Diesel,2024,6600,2024-09-13,2024-09
Pennsylvania,Kags,Renault,SUV,Black,Automatic,7,5,Hybrid,2016,9300,2018-04-29,2018-04
California,i20,Hyundai,Hatchback,Blue,Automatic,4,5,Electric,2024,7500,2021-08-05,2021-08
California,Plato,Prazo,Convertible,Red,Automatic,2,2,Electric,2018,10600,2022-01-16,2022-01
Pennsylvania,Creta,Hyundai,Hatchback,Gray,Manual,5,5,Petrol,2015,6900,2023-07-01,2023-07
Pennsylvania,Dzire,Maruti,Sedan,Blue,Manual,5,5,Electric,2023,8100,2022-08-16,2022-08
North Carolina,Plato,Prazo,Convertible,Red,Automatic,2,2,Diesel,2017,9300,2017-08-08,2017-08
Arizona,Etriga,Maruti,Hatchback,Black,Automatic,4,5,Electric,2022,7700,2023-01-25,2023-01
Illinois,Yodha,Tata,Truck,Blue,Manual,3,2,Diesel,2018,7700,2022-05-30,2022-05
Florida,i20,Hyundai,Hatchback,Blue,Automatic,4,5,Hybrid,2020,7400,2019-12-22,2019-12
Arizona,Swift,Maruti,Sedan,Red,Automatic,5,4,Diesel,2019,7100,2019-05-31,2019-05
Colorado,Fortuner,Toyota,SUV,Red,Manual,8,5,Petrol,2016,8300,2020-01-18,2020-01
North Carolina,Scorpio,Mahindra,SUV,Gray,Manual,5,5,Electric,2021,9300,2021-10-30,2021-10
Oklahoma,Scorpio,Mahindra,SUV,Red,Manual,5,5,Hybrid,2020,8900,2017-01-15,2017-01
California,Hilux,Toyota,Truck,Red,Automatic,4,2,Petrol,2021,7300,2015-04-12,2015-04
Tennessee,Plato,Prazo,Convertible,Black,Automatic,2,2,Electric,2018,10600,2024-12-04,2024-12
Colorado,Seltos,Kia,Hatchback,Red,Manual,5,5,Electric,2024,7500,2019-08-19,2019-08
New York,i20,Hyundai,Hatchback,Red,Manual,4,5,Electric,2017,8200,2020-11-11,2020-11
Tennessee,Creta,Hyundai,Hatchback,White,Manual,5,5,Diesel,2023,6200,2019-12-11,2019-12
Oklahoma,Hilux,Toyota,Truck,Black,Automatic,4,2,Electric,2017,9200,2015-01-31,2015-01
Utah,Swift,Maruti,Sedan,Gray,Manual,5,4,Hybrid,2023,7600,2020-01-13,2020-01
Colorado,Yodha,Tata,Truck,Black,Manual,3,2,Petrol,2023,7100,2018-10-20,2018-10
Colorado,Scorpio,Mahindra,SUV,Red,Manual,5,5,Electric,2024,9000,2017-08-06,2017-08
Pennsylvania,Thar,Mahindra,SUV,Blue,Manual,5,3,Petrol,2016,8300,2021-01-06,2021-01
North Carolina,i20,Hyundai,Hatchback,Red,Automatic,4,5,Petrol,2019,6500,2016-01-14,2016-01
Colorado,Seltos,Kia,Hatchback,Blue,Automatic,5,5,Electric,2017,8200,2022-01-19,2022-01
Oklahoma,Seltos,Kia,Hatchback,Blue,Manual,5,5,Diesel,2021,6400,2017-02-02,2017-02
Illinois,Seltos,Kia,Hatchback,White,Automatic,5,5,Petrol,2019,6500,2015-11-27,2015-11
New York,Creta,Hyundai,Hatchback,White,Manual,5,5,Diesel,2017,6800,2024-10-05,2024-10
Florida,Swift,Maruti,Sedan,Red,Manual,5,4,Hybrid,2021,7800,2019-07-02,2019-07
North Carolina,Hilux,Toyota,Truck,White,Automatic,4,2,Hybrid,2018,8600,2022-08-07,2022-08
Oregon,Yodha,Tata,Truck,Black,Manual,3,2,Diesel,2023,7200,2017-05-22,2017-05
Wisconsin,Hilux,Toyota,Truck,Red,Automatic,4,2,Electric,2019,9000,2022-04-27,2022-04
California,Scorpio,Mahindra,SUV,Blue,Manual,5,5,Electric,2019,9500,2015-10-19,2015-10
Utah,Hilux,Toyota,Truck,Red,Automatic,4,2,Petrol,2022,7200,2016-12-04,2016-12
Oklahoma,Thar,Mahindra,SUV,White,Manual,5,3,Electric,2022,9200,2020-11-23,2020-11
Colorado,Fortuner,Toyota,SUV,Blue,Automatic,8,5,Hybrid,2022,8700,2022-03-22,2022-03
Texas,Swift,Maruti,Sedan,Red,Automatic,5,4,Petrol,2024,6500,2018-08-25,2018-08
California,Seltos,Kia,Hatchback,Black,Automatic,5,5,Hybrid,2024,7000,2020-01-08,2020-01
Colorado,Swift,Maruti,Sedan,Red,Automatic,5,4,Hybrid,2016,8300,2022-03-16,2022-03
California,Yodha,Tata,Truck,Black,Manual,3,2,Hybrid,2019,8500,2016-01-15,2016-01
North Carolina,Thar,Mahindra,SUV,Red,Automatic,5,3,Hybrid,2022,8700,2021-09-02,2021-09
Pennsylvania,Yodha,Tata,Truck,Red,Automatic,3,2,Hybrid,2022,8200,2019-03-12,2019-03
North Carolina,Hilux,Toyota,Truck,Red,Manual,4,2,Diesel,2021,7400,2017-03-20,2017-03
California,Seltos,Kia,Hatchback,Black,Automatic,5,5,Petrol,2023,6100,2015-07-26,2015-07
Colorado,Scorpio,Mahindra,SUV,Red,Automatic,5,5,Hybrid,2018,9100,2018-11-06,2018-11
Michigan,Dzire,Maruti,Sedan,Red,Manual,5,5,Hybrid,2016,8300,2018-10-10,2018-10
Ohio,Creta,Hyundai,Hatchback,Black,Automatic,5,5,Petrol,2020,6400,2017-02-15,2017-02
Arizona,Seltos,Kia,Hatchback,Red,Automatic,5,5,Diesel,2017,6800,2018-12-12,2018-12
Tennessee,Creta,Hyundai,Hatchback,Gray,Manual,5,5,Hybrid,2017,7700,2021-01-17,2021-01
Oregon,Creta,Hyundai,Hatchback,Black,Manual,5,5,Diesel,2015,7000,2018-03-07,2018-03
Tennessee,Scorpio,Mahindra,SUV,Red,Manual,5,5,Petrol,2021,7800,2021-11-15,2021-11
Texas,Yodha,Tata,Truck,Blue,Manual,3,2,Hybrid,2017,8700,2020-04-28,2020-04
California,Creta,Hyundai,Hatchback,Red,Automatic,5,5,Petrol,2022,6200,2022-02-19,2022-02
Oregon,Hilux,Toyota,Truck,Red,Manual,4,2,Petrol,2019,7500,2023-04-15,2023-04
Florida,Seltos,Kia,Hatchback,Red,Manual,5,5,Petrol,2018,6600,2019-09-23,2019-09
California,Scorpio,Mahindra,SUV,Black,Automatic,5,5,Petrol,2024,7500,2018-04-24,2018-04
Tennessee,Yodha,Tata,Truck,Red,Manual,3,2,Petrol,2018,7600,2018-01-23,2018-01
Illinois,Thar,Mahindra,SUV,Red,Manual,5,3,Diesel,2024,7600,2023-07-27,2023-07
North Carolina,Etriga,Maruti,Hatchback,Red,Automatic,4,5,Electric,2016,8300,2018-09-30,2018-09
Texas,Plato,Prazo,Convertible,White,Manual,2,2,Diesel,2020,9000,2022-04-30,2022-04
Oklahoma,Scorpio,Mahindra,SUV,Red,Manual,5,5,Diesel,2016,8400,2021-03-17,2021-03
Ohio,Fortuner,Toyota,SUV,Red,Manual,8,5,Petrol,2017,8200,2019-01-01,2019-01
Michigan,Swift,Maruti,Sedan,Blue,Automatic,5,4,Electric,2022,8200,2020-06-07,2020-06
New York,Fortuner,Toyota,SUV,Blue,Automatic,8,5,Petrol,2015,8400,2024-06-06,2024-06
North Carolina,Scorpio,Mahindra,SUV,Gray,Manual,5,5,Diesel,2021,7900,2015-08-30,2015-08
North Carolina,Scorpio,Mahindra,SUV,Gray,Manual,5,5,Diesel,2020,8000,2023-02-08,2023-02
Tennessee,Yodha,Tata,Truck,White,Manual,3,2,Petrol,2020,7400,2015-10-23,2015-10
Pennsylvania,Dzire,Maruti,Sedan,White,Automatic,5,5,Petrol,2020,6900,2024-05-08,2024-05
New York,Etriga,Maruti,Hatchback,Blue,Automatic,4,5,Petrol,2015,6900,2024-06-10,2024-06
Oregon,Etriga,Maruti,Hatchback,Black,Manual,4,5,Petrol,2015,6900,2022-06-17,2022-06
Wisconsin,i20,Hyundai,Hatchback,Blue,Manual,4,5,Hybrid,2024,7000,2015-03-03,2015-03
California,Hilux,Toyota,Truck,Red,Manual,4,2,Diesel,2015,8000,2021-06-28,2021-06
California,Yodha,Tata,Truck,Gray,Manual,3,2,Hybrid,2024,8000,2022-07-14,2022-07
Michigan,Yodha,Tata,Truck,Black,Manual,3,2,Diesel,2020,7500,2017-09-01,2017-09
Wisconsin,Dzire,Maruti,Sedan,Red,Automatic,5,5,Diesel,2022,6800,2022-02-27,2022-02
California,Scorpio,Mahindra,SUV,White,Manual,5,5,Diesel,2021,7900,2016-08-09,2016-08
Ohio,i20,Hyundai,Hatchback,Blue,Manual,4,5,Petrol,2020,6400,2023-05-31,2023-05
Wisconsin,Dzire,Maruti,Sedan,Red,Manual,5,5,Electric,2019,8500,2023-10-13,2023-10
Tennessee,Yodha,Tata,Truck,Gray,Automatic,3,2,Hybrid,2017,8700,2018-09-13,2018-09
Oklahoma,Scorpio,Mahindra,SUV,Gray,Manual,5,5,Hybrid,2020,8900,2020-07-16,2020-07
Illinois,Thar,Mahindra,SUV,White,Manual,5,3,Diesel,2024,7600,2020-10-08,2020-10
Florida,Creta,Hyundai,Hatchback,Gray,Automatic,5,5,Electric,2016,8300,2023-01-24,2023-01
California,Thar,Mahindra,SUV,Black,Manual,5,3,Petrol,2018,8100,2017-08-18,2017-08
Ohio,Yodha,Tata,Truck,Black,Automatic,3,2,Diesel,2024,7100,2019-11-22,2019-11
Ohio,Thar,Mahindra,SUV,Blue,Automatic,5,3,Diesel,2021,7900,2022-05-07,2022-05
California,Seltos,Kia,Hatchback,Red,Manual,5,5,Electric,2023,7600,2015-11-10,2015-11
Florida,Fortuner,Toyota,SUV,Blue,Automatic,8,5,Petrol,2023,7600,2023-02-09,2023-02
Tennessee,Thar,Mahindra,SUV,White,Manual,5,3,Petrol,2017,8200,2024-02-09,2024-02
